road_id,vehicle_id,date,seg_id,direction,enter_time,exit_time,enter_idx,exit_idx,duration_s,num_points
A0003,7,2024-06-19,0,A1-1,17:11:47,17:11:57,10,12,10,3
A0003,7,2024-06-20,0,A1-1,17:16:05,17:16:15,10,12,10,3
A0003,13,2024-06-19,0,A1-1,16:58:42,16:59:03,2,4,21,3
A0003,21,2024-06-19,0,A1-1,16:57:04,16:57:24,6,8,20,3
A0003,28,2024-06-17,0,A1-1,17:14:04,17:14:24,5,7,20,3
A0003,39,2024-06-19,0,A1-1,17:03:04,17:03:24,6,8,20,3
A0003,52,2024-06-19,0,A1-2,16:45:50,16:46:10,6,8,20,3
A0003,65,2024-06-19,0,A1-1,16:44:09,16:44:19,9,11,10,3
A0003,65,2024-06-21,0,A1-1,17:18:27,17:18:37,8,10,10,3
A0003,68,2024-06-17,0,A1-2,17:29:30,17:29:50,10,12,20,3
A0003,68,2024-06-18,0,A1-2,17:20:41,17:21:11,7,9,30,3
A0003,69,2024-06-19,0,A1-1,17:22:44,17:23:04,3,5,20,3
A0003,71,2024-06-21,0,A1-2,17:29:13,17:29:33,4,6,20,3
A0003,77,2024-06-19,0,A1-1,17:12:15,17:12:35,5,7,20,3
A0003,77,2024-06-21,0,A1-1,17:29:12,17:29:32,8,10,20,3
A0003,82,2024-06-19,0,A1-2,16:32:57,16:33:17,6,8,20,3
A0003,87,2024-06-19,0,A1-2,17:00:48,17:01:08,2,4,20,3
A0003,89,2024-06-19,0,A1-2,17:27:25,17:27:45,9,11,20,3
A0003,91,2024-06-18,0,A1-2,16:58:40,16:59:00,6,8,20,3
A0003,91,2024-06-19,0,A1-2,17:07:34,17:07:54,7,9,20,3
A0003,93,2024-06-19,0,A1-2,16:50:29,16:50:49,6,8,20,3
A0003,93,2024-06-19,1,A1-1,17:29:29,17:29:49,6,8,20,3
A0003,103,2024-06-19,0,A1-1,17:03:06,17:03:16,12,14,10,3
A0003,107,2024-06-19,0,A1-1,16:41:29,16:42:25,2,4,56,3
A0003,107,2024-06-20,0,A1-1,16:39:24,16:40:20,0,2,56,3
A0003,120,2024-06-17,0,A1-1,17:01:12,17:01:32,5,7,20,3
A0003,122,2024-06-19,0,A1-2,17:29:33,17:29:53,7,9,20,3
A0003,124,2024-06-19,0,A1-2,16:50:02,16:50:22,5,7,20,3
A0003,146,2024-06-19,0,A1-2,16:37:15,16:37:35,6,8,20,3
A0003,153,2024-06-19,0,A1-2,17:07:26,17:07:46,5,7,20,3
A0003,154,2024-06-19,0,A1-1,16:50:24,16:50:44,4,6,20,3
A0003,154,2024-06-20,0,A1-1,16:50:20,16:50:40,5,7,20,3
A0003,158,2024-06-17,0,A1-2,16:50:05,16:50:26,8,10,21,3
A0003,158,2024-06-20,0,A1-2,17:16:08,17:16:28,4,6,20,3
A0003,173,2024-06-19,1,A1-1,17:22:43,17:23:03,6,8,20,3
A0003,182,2024-06-19,0,A1-1,16:47:58,16:48:18,4,6,20,3
A0003,198,2024-06-19,0,A1-1,17:16:05,17:16:25,7,9,20,3
A0003,199,2024-06-19,0,A1-1,17:05:17,17:05:37,5,7,20,3
A0003,218,2024-06-19,0,A1-2,17:22:38,17:22:58,5,7,20,3
A0003,219,2024-06-18,0,A1-2,17:16:23,17:16:43,5,7,20,3
A0003,219,2024-06-19,0,A1-2,17:20:27,17:20:47,6,8,20,3
A0003,219,2024-06-21,0,A1-2,17:18:13,17:18:33,3,5,20,3
A0003,226,2024-06-19,1,A1-1,17:29:11,17:29:31,4,6,20,3
A0003,237,2024-06-18,0,A1-2,17:18:16,17:18:36,7,9,20,3
A0003,237,2024-06-19,0,A1-2,17:20:23,17:20:43,10,12,20,3
A0003,237,2024-06-20,0,A1-2,17:22:41,17:23:01,5,7,20,3
A0003,246,2024-06-19,0,A1-2,17:13:56,17:14:06,11,13,10,3
A0003,254,2024-06-19,0,A1-1,16:56:36,16:56:56,4,6,20,3
A0003,256,2024-06-18,0,A1-2,16:43:50,16:44:00,9,11,10,3
A0003,256,2024-06-20,0,A1-2,17:25:18,17:25:28,6,8,10,3
A0003,259,2024-06-19,1,A1-2,16:45:59,16:46:19,8,10,20,3
A0003,266,2024-06-19,1,A1-1,17:26:59,17:27:19,5,7,20,3
A0003,275,2024-06-19,0,A1-2,17:03:10,17:03:14,61,65,4,5
A0003,296,2024-06-19,0,A1-1,16:52:09,16:52:29,4,6,20,3
A0003,297,2024-06-20,0,A1-2,16:45:49,16:46:09,6,8,20,3
A0003,301,2024-06-18,0,A1-2,17:03:17,17:03:37,7,9,20,3
A0003,301,2024-06-19,0,A1-2,16:58:48,16:59:08,6,8,20,3
A0003,301,2024-06-21,0,A1-2,17:05:23,17:05:43,5,7,20,3
A0003,314,2024-06-19,0,A1-2,17:11:59,17:12:19,8,10,20,3
A0003,318,2024-06-19,0,A1-1,17:11:32,17:12:28,2,4,56,3
A0003,322,2024-06-19,0,A1-1,17:24:54,17:25:14,1,3,20,3
A0003,328,2024-06-19,0,A1-1,17:29:32,17:29:42,10,12,10,3
A0003,340,2024-06-20,0,A1-1,17:16:06,17:16:26,5,7,20,3
A0003,345,2024-06-17,0,A1-1,17:22:33,17:22:53,4,6,20,3
A0003,345,2024-06-19,0,A1-1,17:26:50,17:27:10,4,6,20,3
A0003,345,2024-06-20,0,A1-1,17:22:39,17:22:59,4,6,20,3
A0003,350,2024-06-19,0,A1-2,16:45:35,16:46:35,2,4,60,3
A0003,358,2024-06-19,0,A1-1,16:50:05,16:50:25,7,9,20,3
A0003,360,2024-06-19,0,A1-2,17:03:06,17:03:26,6,8,20,3
A0003,369,2024-06-21,0,A1-1,17:14:30,17:14:50,5,7,20,3
A0003,371,2024-06-19,0,A1-2,16:39:37,16:39:57,8,10,20,3
A0003,376,2024-06-19,0,A1-2,16:30:51,16:31:11,3,5,20,3
A0003,395,2024-06-17,0,A1-1,16:47:53,16:48:13,4,6,20,3
A0003,395,2024-06-18,0,A1-1,16:35:01,16:35:21,4,6,20,3
A0003,395,2024-06-21,0,A1-1,16:48:03,16:48:23,5,7,20,3
A0003,398,2024-06-19,0,A1-1,17:09:23,17:10:19,1,3,56,3
A0003,398,2024-06-20,0,A1-1,17:03:03,17:03:59,0,2,56,3
A0003,398,2024-06-21,0,A1-1,16:58:36,16:59:32,1,3,56,3
A0003,418,2024-06-18,0,A1-2,16:41:36,16:41:56,5,8,20,4
A0003,422,2024-06-19,0,A1-2,17:24:41,17:25:42,2,4,61,3
A0003,443,2024-06-20,0,A1-1,17:29:17,17:29:37,5,7,20,3
A0003,445,2024-06-20,0,A1-1,16:50:09,16:50:29,7,9,20,3
A0003,456,2024-06-20,0,A1-2,16:45:22,16:46:22,1,3,60,3
A0003,465,2024-06-17,0,A1-2,17:22:49,17:23:09,6,8,20,3
A0003,465,2024-06-21,0,A1-2,17:26:59,17:27:19,5,7,20,3
A0003,469,2024-06-18,0,A1-1,16:56:33,16:56:53,5,7,20,3
A0003,493,2024-06-20,1,A1-1,16:58:51,16:59:11,5,7,20,3
A0003,508,2024-06-21,2,A1-1,16:56:41,16:57:01,4,6,20,3
A0003,517,2024-06-19,1,A1-2,17:29:20,17:29:40,2,4,20,3
